cleanText,label
nhân viên quá tệ không tư vấn khách hàng các mã giảm giá,doesn't recommend
mua máy người bảo có người bảo không,doesn't recommend
nhân viên tư vấn vô lễ vô giáo dục chửi khách cc và nói khách tiền mua không mà nên về dạy lại nhân viên dùm,doesn't recommend
thất vọng tràn trề từ sale đến kỹ thuật đến cả bộ phận xử lý khiếu nại mua laptop hơn tr về dùng được hơn tiếng hết pin video call phút máy kêu như công nông đem ra cửa hàng cho kỹ thuật kiểm tra thì nói là không có lỗi bảo thì nó,doesn't recommend
thế mua về để trưng hay sao,doesn't recommend
lúc sau lại đổ cho dòng máy này nó more nhưng không chứng minh cái máy này không có lỗi được mình yêu cầu đem máy cùng loại máy cũ hay hàng trưng bày gì gì cũng được để đem ra so sánh xem có thể chứng minh được cái máy có lỗi không nói chuyện ngang như con cua,doesn't recommend
kỹ thuật kiểu mẹ gì mà không biết cả đăng xuất máy tính còn không biết có gọi lên tổng đài khiếu nại hẹn sẽ liên hệ lại trước h nhưng có vẻ là có cái nịt khi mà mình xác định trả máy mất gần tr trong ngày và ôm lại cục tức thái độ làm việc như,doesn't recommend
từ sale đến kt đến xử lý khiếu nại trước giờ cũng mua không ít đồ ở đây nhưng sau lần này thì cúng cô hồn,doesn't recommend
thấy kinh lắm mà đ ngờ làm việc như,doesn't recommend
thái độ nhân viên cực kì tệ từ chăm sóc khách hàng đến bên kỹ thuật mình đang xem mẫu này muốn xem thêm mẫu khác không lấy là không lấy còn tỏ ra khinh khách hàng nữa chứ tư vấn thì chỉ làm cho có làm ơn hãy làm việc bằng cái tâm hệ thống cửa hàng cũng lớn mà vô không chào khách hàng nữa thái độ nhân viên rất rất tệ chất lượng laptop cũng vậy,doesn't recommend
bán hàng chỉ quan tâm lợi nhuận còn chăm sóc khách hàng như còn đưa khách hàng vào thế bất lợi,doesn't recommend
không có hàng web vẫn báo còn hàng,doesn't recommend
hàng mất seal web còn hàng mới,doesn't recommend
nhân viên tư vấn gian dối bảo thu lại điện thoại đổi mới tr sẽ được tr trợ giá nhưng thật ra chỉ và được tr trong khi điện thoại mình họ đã mở mặt sau đt zin ngoài ra tư vấn viên còn bịa đặt để hạ giá điện thoại mình xuống khi thu cũ tuy nhiên khi mình hỏi nhân viên kỹ thuật thì không hề có chuyện đó không bao giờ quay lại,doesn't recommend
mua điện thoại chưa đầy năm màn hình chỗ gập bị nguyên vệt màu đen mang ra bảo hành thì bảo lỗi này không bảo hành do dùng nên làm nó bị thế nói có suy nghĩ không thế mua về không dùng thì ngắm cho vui mắt à đương nhiên dùng thì nó mới bị thế mà dùng rất nhẹ nhàng bình thường chứ không phải do rơi vỡ gì,doesn't recommend
đọc review mơi thấy hoá ra cả cái more thống này đều có vấn đề,doesn't recommend
nhân viên thái độ còn hay đổ lỗi cho sản phẩm hề hước,doesn't recommend
rất khuyên mọi người đừng bao giờ mua ở đây,doesn't recommend
nếu đọc review khi mua sẽ không bao giờ mua cửa hàng ở nguyễn văn cừ long biên,doesn't recommend
