,content,label
0,"Làm ăn rất mất uy tín, nhận máy sửa chữa 2-3 lần không hết lỗi càng sửa càng nghiêm trọng. đặc biệt là việc nhận ào ào rồi đến ngày hẹn lấy máy thì báo chưa check kỹ lại lùi ngày để xem lại vẽ thêm lỗi cái này cực kỳ ghét. thề ko bao giờ lại và sẽ tổ chức bóc phốt cửa hàng này😡😡😡😡😡😡",doesn't recommend
1,mua ở đây rất an tâm nhân viên tư vấn nhiệt tình,recommends
2,"Mang máy đến sửa.  Chưa kiểm tra gì đã bung máy ra. Máy hỏng 1 đằng,báo giá 1 nẻo. Lắp lại thì mất rung. Tồi !!!",recommends
3,bỏ 300k ra thay pin. để nhận về hỏng loa trong và viên pin còn tệ hơn cả viên pin cũ. liên hệ bh thì đùn đẩy trách nghiệm các thứ chán chả buồn nói nữa.,doesn't recommend
4,"làm ăn kiểu ôm con bỏ chợ,ko cho khách lên đời máy hay mua đi bán lại,1 lần duy nhất bán xong là thôi,chúng mày bú buồi ông Hoàng Kiên ý",recommends
5,"Mọi người chú ý mua máy mới còn nguyên seal hay không? Shop bán điện thoại đã qua sử dụng sau khi xóa trắng lừa rồi khách hàng.  Thắc mắc thì không trả lời 😃 Mong shop sớm làm ăn thua lỗ ☺️ Hình ảnh mới mở máy lên đã có: Tik Tok, Facebook, Lazada.... trong khi đó chưa cài đặt gì 😂",doesn't recommend
6,Cửa hàng làm ăn bố láo..không bảo hành cho khách,doesn't recommend
7,Không biết chất lượng sản phẩm ra sao nhưng tác phong + phong cách phục vụ quá tệ.Không bao giờ quay lại lần 2,doesn't recommend
8,"shop uy tín, hàng chất lượng, nhân viên phục vụ tốt, sẽ ủng hộ tiếp",recommends
9,Phục vụ kém nhắn tin gần 1 ngày không thấy shop nào trả lời cả 3 shop luôn ấy. Chắc chắn không quay lại lần 2 :),recommends
10,"Bán hàng như lừa đảo ,bán xong cái quay ra thay đổi 180 độ. Tư vấn online chậm, ko nhiệt tình. Mới mua đc mấy hôm xong tự bắt khách thay pin trả tiền , mình gọi đến tận quản lý mới đồng ý thay cho khách. Trước khi đi mua thì nói như hát hay bảo sau có thu mua lại xong giờ nhắn lại bảo ko mua nữa. Ăn nói 2 lời. Cạch mặt.",doesn't recommend
11,Tư vấn quá chán đt gọi thì ko ai nge 1 lúc gọi lại thì đùng đẩy qua lại ko chịu tư vấn thíu trách nhiệm đặt máy cho đã gọi nói ko thấy sđt vs tên bó tay rồi kêu đưa tiền ship 100k trước ủa z ròi s kiểm tra máy mà đưa tiền trước chính sách j kì z ???,doesn't recommend
12,"Đầu tháng đi ép kính con note 20. Ép hỏng màn, khuyrns mãi thêm cho mình cái nịt, đến là bực. Kỹ thuật krms",doesn't recommend
13,"Lừa đảo, máy móc hàng đểu, dịch vụ thì kém",doesn't recommend
