,content,label
0,Nhân viên quá tệ không tư vấn khách hàng các mã giảm giá  . Mua máy người bảo có người bảo không .,doesn't recommend
1,"Nhân viên tư vấn vô lễ, vô giáo dục, chửi khách cc và nói khách :”Có tiền mua ko mà hỏi”  Nên về dạy lại nhân viên dùm",doesn't recommend
2,"- Thất vọng tràn cmn trề từ Sale đến Kỹ Thuật , đến cả bộ phận xử lý khiếu nại 😌 Mua laptop hơn 22tr , về dùng được hơn 1 tiếng hết pin, video call 18 phút máy kêu như công nông :))) , đem ra cửa hàng cho Kỹ Thuật kiểm tra thì nói là không có lỗi =)))) bảo “dùng thì nó kêu” ?????, thế mua về để trưng hay sao? Lúc sau lại đổ cho dòng máy này nó thế,… More nhưng không “ chứng minh cái máy này không có lỗi được “, mình yêu cầu đem 1 máy cùng loại, máy cũ hay hàng trưng bày gì gì cũng được để đem ra so sánh xem có thể chứng minh được cái máy có lỗi không :)))) nói chuyện ngang như con cua. Kỹ thuật kiểu mẹ gì mà ko biết cả đăng xuất máy tính còn không biết 🙄 Có gọi lên tổng đài khiếu nại 😌 hẹn sẽ liên hệ lại trước 12h , nhưng có vẻ là có cái nịt khi mà mình xác định trả máy , mất gần 5tr trong 1 ngày và ôm lại cục tức, thái độ làm việc như *** *** . Từ sale đến kt đến xử lý khiếu nại 😌, trước giờ cũng mua không ít đồ ở đây , nhưng sau lần này thì thôiiii, cúng cô hồn! Thấy pr kinh lắm mà đ** ngờ làm việc như ***!",doesn't recommend
3,"thái độ nhân viên cực kì tệ từ chăm sóc khách hàng đến bên kỹ thuật, mình đang xem mẫu này muốn xem thêm mẫu khác không lấy là không lấy còn tỏ ra khinh khách hàng nữa chứ, tư vấn thì chỉ làm cho có làm ơn hãy làm việc bằng cái tâm, hệ thống cửa hàng cũng lớn mà vô không chào khách hàng nữa thái độ nhân viên rất rất tệ chất lượng laptop cũng vậy",doesn't recommend
4,Bán hàng chỉ quan tâm lợi nhuận còn chăm sóc khách hàng như đbrr còn đưa khách hàng vào thế bất lợi .,doesn't recommend
5,"Không có hàng, web vẫn báo còn hàng. Hàng mất seal web còn hàng mới. Mất thời gian.",doesn't recommend
6,"Nhân viên tư vấn gian dối Bảo thu lại điện thoại đổi mới 2tr sẽ được 2tr trợ giá, nhưng thật ra chỉ 50% và được 1tr, trong khi điện thoại mình họ đã mở mặt sau (đt zin) Ngoài ra, tư vấn viên còn bịa đặt để hạ giá điện thoại mình xuống khi thu cũ, tuy nhiên khi mình hỏi nhân viên kỹ thuật thì ko hề có chuyện đó Không bao giờ quay lại CellPhoneS",doesn't recommend
7,"Mua điện thoại zflip chưa đầy 1 năm màn hình chỗ gập bị nguyên 1 vệt màu đen mang ra bảo hành thì bảo lỗi này ko bảo hành do dùng  nên làm nó bị thế 🤡🤡 nói có suy nghĩ ko thế, mua về ko dùng thì ngắm cho vui mắt à, đương nhiên dùng thì nó mới bị thế, mà dùng rất nhẹ nhàng bình thường, chứ ko phải do rơi vỡ gì. Đọc review mơi thấy hoá ra cả cái hệ… More thống này đều có vấn đề. Nhân viên thái độ, còn hay đổ lỗi cho sản phẩm 🤡 Hề hước. Rất khuyên mọi người đừng bao giờ mua ở đây. Nếu đọc review trc khi mua sẽ ko bao giờ mua P/s: Cửa hàng ở Nguyễn Văn Cừ Long Biên",doesn't recommend
8,Hôm nay nhận một cảm giác thật tệ hại. Công ty không có khả năng hay năng lực thì đừng có nhận đơn khách. Nhận rồi thì phải làm chứ bắt từ khi liên hệ đến khi từ chối mất nguyên ngày của người ta.  Sau máy mới ra đừng có gọi tới để kêu đặt máy.  Quá thất vọng.,doesn't recommend
9,Mua mtb một thời gian thì bị hỏng . T ra cửa hàng để sửa thì bị báo là không có tên trong danh sách khách hàng . May là còn lưu tin nhắn mua hàng dí vào mặt mới thừa nhận . CH vô trách nhiệm với sp,doesn't recommend
10,"Góc khó hiểu khi mua Airpod nguyên seal tại Cellphones - Hôm nay mình mua 1 con airpod mới nguyên seal tại cellphones Vạn Phúc, Hà Đông. tuy nhiên về mới để ý tai nghe đã bị kích hoạt từ 9/7/2022. Mình có mang… More qua lại cửa hàng thì nhân viên đó giải thích là sản phẩm airpod đều tính ngày kích hoạt bh từ khi họ nhập hàng. Mình thấy điều này rất vô lý vì trước mình đã từng mua airpod thì đều đủ ngày bảo hành. - sau đó bạn nv bảo tất cả sản phẩm airpod bên em bán ra đều như thế. Tuy nhiên khi check các sản phẩm airpod khác tại cửa hàng đó thì tất cả đều chưa kích hoạt. Các bác cho em hỏi như vậy có nghĩa là em đã mua phải airpod trôi bảo hành nhưng lại phải trả tiền hàng mới không. Cho dù Cellphones có bảo là sẽ gọi lên tổng đài apple để sửa ngày. Nhưng như thế mình vẫn không thấy vừa ý khi mình bỏ tiền mua sản phẩm mới tinh nhưng nó lại không như thế. Đây là hình ảnh, mình mới mua lúc 8h tối và kích hoạt sau 30 phút sau",recommends
11,"1 chiếc tai nghe qua cửa hàng 3 lần không đổi được dù sản phẩm lỗi, lần nào qua cũng khất, rồi sau khi nhân viên phải sang chi nhánh khác lấy sản phẩm nhưng vẫn tiếp tục lỗi, đợi hơn 1 tiếng đồng hồ ko đổi được sản phẩm",doesn't recommend
