Content,Label
nhân viên quá tệ không tư vấn khách hàng các mã giảm giá,0
mua máy người bảo có người bảo không,0
nhân viên tư vấn vô lễ vô giáo dục chửi khách cc và nói khách tiền mua không mà nên về dạy lại nhân viên dùm,0
thất vọng tràn trề từ sale đến kỹ thuật đến cả bộ phận xử lý khiếu nại mua laptop hơn tr về dùng được hơn tiếng hết pin video call phút máy kêu như công nông đem ra cửa hàng cho kỹ thuật kiểm tra thì nói là không có lỗi bảo thì nó,0
lúc sau lại đổ cho dòng máy này nó more nhưng không chứng minh cái máy này không có lỗi được mình yêu cầu đem máy cùng loại máy cũ hay hàng trưng bày gì gì cũng được để đem ra so sánh xem có thể chứng minh được cái máy có lỗi không nói chuyện ngang như con cua,0
kỹ thuật kiểu mẹ gì mà không biết cả đăng xuất máy tính còn không biết có gọi lên tổng đài khiếu nại hẹn sẽ liên hệ lại trước h nhưng có vẻ là có cái nịt khi mà mình xác định trả máy mất gần tr trong ngày và ôm lại cục tức thái độ làm việc như,0
từ sale đến kt đến xử lý khiếu nại trước giờ cũng mua không ít đồ ở đây nhưng sau lần này thì cúng cô hồn,0
thấy kinh lắm mà đ ngờ làm việc như,0
thái độ nhân viên cực kì tệ từ chăm sóc khách hàng đến bên kỹ thuật mình đang xem mẫu này muốn xem thêm mẫu khác không lấy là không lấy còn tỏ ra khinh khách hàng nữa chứ tư vấn thì chỉ làm cho có làm ơn hãy làm việc bằng cái tâm hệ thống cửa hàng cũng lớn mà vô không chào khách hàng nữa thái độ nhân viên rất rất tệ chất lượng laptop cũng vậy,0
bán hàng chỉ quan tâm lợi nhuận còn chăm sóc khách hàng như còn đưa khách hàng vào thế bất lợi,0
không có hàng web vẫn báo còn hàng,0
hàng mất seal web còn hàng mới,0
nhân viên tư vấn gian dối bảo thu lại điện thoại đổi mới tr sẽ được tr trợ giá nhưng thật ra chỉ và được tr trong khi điện thoại mình họ đã mở mặt sau đt zin ngoài ra tư vấn viên còn bịa đặt để hạ giá điện thoại mình xuống khi thu cũ tuy nhiên khi mình hỏi nhân viên kỹ thuật thì không hề có chuyện đó không bao giờ quay lại,0
mua điện thoại chưa đầy năm màn hình chỗ gập bị nguyên vệt màu đen mang ra bảo hành thì bảo lỗi này không bảo hành do dùng nên làm nó bị thế nói có suy nghĩ không thế mua về không dùng thì ngắm cho vui mắt à đương nhiên dùng thì nó mới bị thế mà dùng rất nhẹ nhàng bình thường chứ không phải do rơi vỡ gì,0
đọc review mơi thấy hoá ra cả cái more thống này đều có vấn đề,0
nhân viên thái độ còn hay đổ lỗi cho sản phẩm hề hước,0
rất khuyên mọi người đừng bao giờ mua ở đây,0
nếu đọc review khi mua sẽ không bao giờ mua cửa hàng ở nguyễn văn cừ long biên,0
hôm nay nhận một cảm giác thật tệ hại,0
công ty không có khả năng hay năng lực thì đừng có nhận đơn khách,0
nhận rồi thì phải làm chứ bắt từ khi liên hệ đến khi từ chối mất nguyên ngày của người ta,0
sau máy mới ra đừng có gọi tới để kêu đặt máy,0
mua một thời gian thì bị hỏng,0
t ra cửa hàng để sửa thì bị báo là không có tên trong danh sách khách hàng,0
may là còn lưu tin nhắn mua hàng dí vào mặt mới thừa nhận,0
chiếc tai nghe qua cửa hàng lần không đổi được dù sản phẩm lỗi lần nào qua cũng khất rồi sau khi nhân viên phải sang chi nhánh khác lấy sản phẩm nhưng vẫn tiếp tục lỗi đợi hơn tiếng đồng hồ không đổi được sản phẩm,0
nay là một ngày đẹp trời cho tâm trạng vui vẻ khoẻ khoắn nhưng lại phải ngồi nghĩ xem có nên chửi nhau với hệ thống bán lẻ di động toàn quốc chi nhánh xã đàn hay không ngày mình mua máy gb màu tím mộng mơ bóc seal trước mặt nhân viên ngay tại cửa hàng luôn rồi đó mà khum có miếng mơ mộng nào vì dùng được more tháng máy sập nguồn bật khum có lên mang ra s thì bảo chị mang ra chỗ điện thoại vui trung tâm bảo hành ủy quyền apple chính hãng thái hà cho nhanh đỡ mất thời gian lóc cóc mang ra tuần sau bên này báo là trung tâm bảo hành do apple uỷ quyền ở báo từ chối bảo hành vì máy có dấu hiệu bị mở vào nước ủa rồi ai more,0
